Donor_Name,Pi_Name,Acceptor_Name,Donor_SMILES,Pi_SMILES,Acceptor_SMILES,SMILES,Source_Class,Anchoring_Group,Predicted_Abs_Max_nm,Predicted_PCE_Percent
Purpurin_inspired,Ethene,Phosphonic_acid,O=C1c2ccccc2C(=O)c3c([At])c(O)c(O)c(O)c31,[I]/C=C/[Br],[Cl]C=CP(=O)(O)O,O=C1c2ccccc2C(=O)c2c(C=CC=CP(=O)(O)O)c(O)c(O)c(O)c21,Natural-derived,phosphonic_acid,441.8759711003181,6.320800000000002
Alizarin_inspired,Ethyne,Phosphonic_acid,O=C1c2ccccc2C(=O)c3c([At])c(O)c(O)cc31,[I]C#C[Br],[Cl]C=CP(=O)(O)O,O=C1c2ccccc2C(=O)c2c1cc(O)c(O)c2C#CC=CP(=O)(O)O,Natural-derived,phosphonic_acid,447.56715293086927,6.320150000000002
Alizarin_inspired,Benzene,Barbituric_acid,O=C1c2ccccc2C(=O)c3c([At])c(O)c(O)cc31,[I]c1ccc([Br])cc1,O=C1NC(=O)NC(=O)/C1=C/[Cl],O=C1NC(=O)C(=Cc2ccc(-c3c(O)c(O)cc4c3C(=O)c3ccccc3C4=O)cc2)C(=O)N1,Natural-derived,,467.2148901350198,6.308750000000004
Coumarin_dimethylamino,Ethene,Rhodanine-3-acetic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]/C=C/[Br],O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,CN(C)c1c(C=CC=C2SC(=O)N(CC(=O)O)C2=O)ccc2oc(=O)ccc12,Natural-derived,carboxylic_acid,407.4606360429573,6.308300000000003
Coumarin_dimethylamino,Ethyne,Rhodanine-3-acetic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]C#C[Br],O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,CN(C)c1c(C#CC=C2SC(=O)N(CC(=O)O)C2=O)ccc2oc(=O)ccc12,Natural-derived,carboxylic_acid,408.78734753141333,6.307400000000004
Lawsone_inspired,Ethyne,Acrylic_acid,O=C1c2ccccc2C(=O)C(O)=C1[At],[I]C#C[Br],[Cl]C=CC(=O)O,O=C(O)C=CC#CC1=C(O)C(=O)c2ccccc2C1=O,Natural-derived,carboxylic_acid,414.0777498335165,6.298250000000003
Lawsone_inspired,Benzene,Barbituric_acid,O=C1c2ccccc2C(=O)C(O)=C1[At],[I]c1ccc([Br])cc1,O=C1NC(=O)NC(=O)/C1=C/[Cl],O=C1NC(=O)C(=Cc2ccc(C3=C(O)C(=O)c4ccccc4C3=O)cc2)C(=O)N1,Natural-derived,,453.0364727931272,6.2774500000000035
Lawsone_inspired,Ethene,Barbituric_acid,O=C1c2ccccc2C(=O)C(O)=C1[At],[I]/C=C/[Br],O=C1NC(=O)NC(=O)/C1=C/[Cl],O=C1NC(=O)C(=CC=CC2=C(O)C(=O)c3ccccc3C2=O)C(=O)N1,Natural-derived,,459.39164180655723,6.276250000000002
Lawsone_inspired,Ethene,Phosphonic_acid,O=C1c2ccccc2C(=O)C(O)=C1[At],[I]/C=C/[Br],[Cl]C=CP(=O)(O)O,O=C1C(O)=C(C=CC=CP(=O)(O)O)C(=O)c2ccccc21,Natural-derived,phosphonic_acid,421.42677135208856,6.2657500000000015
Coumarin_dimethylamino,Pyrrole_N-methyl,Barbituric_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccn(C)c1[Br],O=C1NC(=O)NC(=O)/C1=C/[Cl],CN(C)c1c(-c2ccn(C)c2C=C2C(=O)NC(=O)NC2=O)ccc2oc(=O)ccc12,Natural-derived,,411.6376676806208,6.257050000000005
