Donor_Name,Pi_Name,Acceptor_Name,Donor_SMILES,Pi_SMILES,Acceptor_SMILES,SMILES,Source_Class,Anchoring_Group
Coumarin,Thienothiophene,Acrylic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1cc2c(s1)scc2[Br],[Cl]C=CC(=O)O,O=C(O)C=Cc1csc2sc(-c3ccc4oc(=O)ccc4c3)cc12,Natural-derived,carboxylic_acid
Coumarin,Thienothiophene,Benzoic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1cc2c(s1)scc2[Br],[Cl]c1ccc(C(=O)O)cc1,O=C(O)c1ccc(-c2csc3sc(-c4ccc5oc(=O)ccc5c4)cc23)cc1,Natural-derived,carboxylic_acid
Coumarin,Thienothiophene,Rhodanine-3-acetic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1cc2c(s1)scc2[Br],O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,O=C(O)CN1C(=O)SC(=Cc2csc3sc(-c4ccc5oc(=O)ccc5c4)cc23)C1=O,Natural-derived,carboxylic_acid
Coumarin,Thienothiophene,Phosphonic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1cc2c(s1)scc2[Br],[Cl]C=CP(=O)(O)O,O=c1ccc2cc(-c3cc4c(C=CP(=O)(O)O)csc4s3)ccc2o1,Natural-derived,phosphonic_acid
Coumarin,Thienothiophene,Barbituric_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1cc2c(s1)scc2[Br],O=C1NC(=O)NC(=O)/C1=C/[Cl],O=C1NC(=O)C(=Cc2csc3sc(-c4ccc5oc(=O)ccc5c4)cc23)C(=O)N1,Natural-derived,None
Coumarin,Ethyne,Cyanoacrylic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]C#C[Br],[Cl]C=C(C#N)C(=O)O,N#CC(=CC#Cc1ccc2oc(=O)ccc2c1)C(=O)O,Natural-derived,cyanoacrylate
Coumarin,Ethyne,Acrylic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]C#C[Br],[Cl]C=CC(=O)O,O=C(O)C=CC#Cc1ccc2oc(=O)ccc2c1,Natural-derived,carboxylic_acid
Coumarin,Ethyne,Benzoic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]C#C[Br],[Cl]c1ccc(C(=O)O)cc1,O=C(O)c1ccc(C#Cc2ccc3oc(=O)ccc3c2)cc1,Natural-derived,carboxylic_acid
Coumarin,Ethyne,Rhodanine-3-acetic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]C#C[Br],O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,O=C(O)CN1C(=O)SC(=CC#Cc2ccc3oc(=O)ccc3c2)C1=O,Natural-derived,carboxylic_acid
Coumarin,Ethyne,Phosphonic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]C#C[Br],[Cl]C=CP(=O)(O)O,O=c1ccc2cc(C#CC=CP(=O)(O)O)ccc2o1,Natural-derived,phosphonic_acid
Coumarin,Ethyne,Barbituric_acid,O=C1Oc2ccc([At])cc2C=C1,[I]C#C[Br],O=C1NC(=O)NC(=O)/C1=C/[Cl],O=C1NC(=O)C(=CC#Cc2ccc3oc(=O)ccc3c2)C(=O)N1,Natural-derived,None
Coumarin,Ethene,Cyanoacrylic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]/C=C/[Br],[Cl]C=C(C#N)C(=O)O,N#CC(=CC=Cc1ccc2oc(=O)ccc2c1)C(=O)O,Natural-derived,cyanoacrylate
Coumarin,Ethene,Acrylic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]/C=C/[Br],[Cl]C=CC(=O)O,O=C(O)C=CC=Cc1ccc2oc(=O)ccc2c1,Natural-derived,carboxylic_acid
Coumarin,Ethene,Benzoic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]/C=C/[Br],[Cl]c1ccc(C(=O)O)cc1,O=C(O)c1ccc(C=Cc2ccc3oc(=O)ccc3c2)cc1,Natural-derived,carboxylic_acid
Coumarin,Ethene,Rhodanine-3-acetic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]/C=C/[Br],O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,O=C(O)CN1C(=O)SC(=CC=Cc2ccc3oc(=O)ccc3c2)C1=O,Natural-derived,carboxylic_acid
Coumarin,Ethene,Phosphonic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]/C=C/[Br],[Cl]C=CP(=O)(O)O,O=c1ccc2cc(C=CC=CP(=O)(O)O)ccc2o1,Natural-derived,phosphonic_acid
Coumarin,Ethene,Barbituric_acid,O=C1Oc2ccc([At])cc2C=C1,[I]/C=C/[Br],O=C1NC(=O)NC(=O)/C1=C/[Cl],O=C1NC(=O)C(=CC=Cc2ccc3oc(=O)ccc3c2)C(=O)N1,Natural-derived,None
Coumarin,Benzothiadiazole,Cyanoacrylic_acid,O=C1Oc2ccc([At])cc2C=C1,[I]c1ccc2nsnc2c1[Br],[Cl]C=C(C#N)C(=O)O,N#CC(=Cc1c(-c2ccc3oc(=O)ccc3c2)ccc2nsnc12)C(=O)O,Natural-derived,cyanoacrylate
