dye_raw,eco_class,valid_record_count,avg_pce_percent,max_pce_percent,avg_jsc_raw,avg_voc_raw,avg_ff_raw,example_name,example_smiles,common_semiconductors,common_redox_couples,common_substrates,sources,screening_reasons,example_dois,example_titles
EHOP,metal_free_candidate_uncertain,1,3.6,3.6,9.6,548.0,68.9,,,,I−/I3−,,rsc,no_excluded_metal_keyword_detected,10.1039/C3TA01128C,Novel D–π–A structured porphyrin  dyes with diphenylamine derived electron-donating substituents for highly efficient dye -sensitized solar cells  
CSORG2,metal_free_candidate_uncertain,1,3.6,3.6,6.7,0.724,0.74,,,TiO2,,,elsevier,no_excluded_metal_keyword_detected,10.1016/j.dyepig.2014.09.032,Effect of the anchoring group in the performance of carbazole-phenothiazine dyads for dye-sensitized solar cells
JY05,metal_free_candidate_uncertain,1,3.6,3.6,8.33,617.0,0.7,,,TiO2,iodide/triiodide,,elsevier,no_excluded_metal_keyword_detected,10.1016/j.dyepig.2014.10.007,Triazatruxene-based organic dyes containing a rhodanine-3-acetic acid acceptor for dye-sensitized solar cells
1. Dye-1,metal_free_candidate_uncertain,1,3.6,3.6,8.37,0.6,0.71,,,,T2/T−,,elsevier,no_excluded_metal_keyword_detected,10.1016/j.rser.2016.12.087,Performance improvement of modified dye-sensitized solar cells
PHX - TPA,metal_free_candidate_uncertain,3,3.1423,3.597,6.99,0.663,0.6793,,,TiO2,I−/I3−,,elsevier,no_excluded_metal_keyword_detected,10.1016/j.dyepig.2019.02.055,Heteroatom-mediated performance of dye-sensitized solar cells based on T-shaped molecules
FTO,metal_free_candidate_uncertain,5,1.89,3.59,6.294,0.616,0.4958,,,TiO2,,,rsc,no_excluded_metal_keyword_detected,10.1039/C0EE00683A, Graphene based new energy materials 
TB-1,metal_free_organic_candidate,2,3.59,3.59,7.44,694.0,69.7,,CC(=O)NC1=CC=C(C=C1)/C=N/NC(=S)N,TiO2,,,elsevier,metal_free_smiles_screen,10.1016/j.synthmet.2015.03.033; 10.1016/j.tetlet.2015.01.156,Novel D-π-A organic sensitizers containing diarylmethylene-bridged triphenylamine and different spacers for solar cell application | Novel organic dyes based on diarylmethylene-bridged triphenylamine for dye-sensitized solar cells
MC113,metal_free_candidate_uncertain,1,3.59,3.59,8.28,0.64,0.677,,,,I−/I3−,,rsc,no_excluded_metal_keyword_detected,10.1039/C4DT01598C,"Novel 4′-functionalized 4,4′′-dicarboxyterpyridine ligands for ruthenium complexes: near-IR sensitization in dye sensitized solar cells  "
D+1,metal_free_candidate_uncertain,1,3.59,3.59,8.61,565.0,74.0,,,TiO2,,,rsc,no_excluded_metal_keyword_detected,10.1039/C1CC16066D,Supramolecular light harvesting antennas to enhance absorption cross-section in dye -sensitized solar cells   
DS-6,metal_free_organic_candidate,1,3.59,3.59,9.46,0.585,0.65,,C1=C(C=C(C(=C1[N+](=O)[O-])O)SC2=CC(=CC(=C2O)[N+](=O)[O-])Cl)Cl,,,FTO,rsc,organic_keyword:cyanoacrylic|thiophene,10.1039/B815649B,Molecular design of triarylamine-based organic dyes for efficient dye -sensitized solar cells 
