dye_raw,eco_class,valid_record_count,avg_pce_percent,max_pce_percent,avg_jsc_raw,avg_voc_raw,avg_ff_raw,example_name,example_smiles,common_semiconductors,common_redox_couples,common_substrates,sources,screening_reasons,example_dois,example_titles
FBV,natural_or_bio_based_candidate,2,1.92,2.01,5.405,0.5725,0.62,,C1=CC=C(C(=C1)F)S(=O)(=O)N,TiO2,,,elsevier,keyword:anthocyanin; natural_or_plant_name_screen,10.1016/j.solener.2018.07.048,"Photovoltaic performance and photostability of anthocyanins, isoquinoline alkaloids and betalains as natural sensitizers for DSSCs"
Pomegranate,natural_or_bio_based_candidate,3,1.67,2.0,11.4267,0.4467,18.94,,,TiO2; ZnO,,,elsevier,keyword:pomegranate; natural_or_plant_name_screen,10.1016/j.matlet.2019.02.072; 10.1016/j.optmat.2019.02.037; 10.1016/j.solener.2019.02.023,Natural dye extract from Cassia fistula and its application in dye-sensitized solar cell: Experimental and density functional theory studies | Progress in dye sensitized solar cell by incorporating natural photosensitizers | The preparation of dye sensitized solar cells using natural dyes extracted from Phytolacca icosandra and Phyllanthus reticulatus with ZnO as photoanode
( 2 ) Natural dyes : anthocyanins / betalains without tannins,natural_or_bio_based_candidate,1,2.0,2.0,2.0,2.0,2.0,,,TiO2,,FTO,elsevier,keyword:anthocyanin|betalain|natural; natural_or_plant_name_screen,10.1016/j.solener.2014.05.004,ORAC and VIS spectroscopy as a guideline for unmodified red–purple natural dyes selection in dye-sensitized solar cells
PAN – EC / PC – TPAI / I2 – chlorophyll,natural_or_bio_based_candidate,1,1.97,1.97,5.78,0.6,0.57,,,TiO2,,glass,rsc,keyword:chlorophyll; natural_or_plant_name_screen,10.1039/C6RA04188D,From crab shell to solar cell: a gel polymer electrolyte based on N -phthaloylchitosan and its application in dye-sensitized solar cells  
Rose bengal ( natural ),natural_or_bio_based_candidate,1,1.9,1.9,5.28,0.5,72.0,,,ZnO,,FTO,elsevier,keyword:natural; natural_or_plant_name_screen,10.1016/j.optmat.2018.06.011,"Optical, spectral and photovoltaic characterization of natural dyes extracted from leaves of Peltophorum pterocarpum and Acalypha amentacea used as sensitizers for ZnO based dye sensitized solar cells"
Shisonin and chlorophyll,natural_or_bio_based_candidate,4,1.2225,1.56,4.7075,0.52,0.4875,,,TiO2,I−/I3−,,elsevier,keyword:chlorophyll; natural_or_plant_name_screen,10.1016/j.rser.2011.07.148; 10.1016/j.solener.2019.02.023,Progress in dye sensitized solar cell by incorporating natural photosensitizers | Review: Dye sensitized solar cells based on natural photosensitizers
Anthocyanin,natural_or_bio_based_candidate,7,0.7811,1.55,4.5233,203.7974,21.76,,C1=CC=C(C=C1)C2=[O+]C3=CC=CC=C3C=C2,TiO2,,glass,elsevier,keyword:anthocyanin; natural_or_plant_name_screen,10.1016/j.ijleo.2019.164068; 10.1016/j.jphotochem.2018.09.018; 10.1016/j.jphotochem.2019.112050; 10.1016/j.saa.2013.05.090; 10.1016/j.solener.2010.07.009,Enhancement of efficiency of natural and organic dye sensitized solar cells using thin film TiO2 photoanodes fabricated by spin-coating | Improving The Efficiency of DSSC with A Novel Multi-dye layers Approach | Photostability of low cost dye-sensitized solar cells based on natural and synthetic dyes
Pomegranate juice,natural_or_bio_based_candidate,3,1.0567,1.5,0.9033,0.4417,0.54,,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,TiO2,I−/I3−,,elsevier,keyword:pomegranate; natural_or_plant_name_screen,10.1016/j.rser.2011.07.148; 10.1016/j.solener.2019.02.023,Progress in dye sensitized solar cell by incorporating natural photosensitizers | Review: Dye sensitized solar cells based on natural photosensitizers
Raspberry,natural_or_bio_based_candidate,2,0.85,1.5,0.685,0.3875,56.55,,,,,,elsevier,keyword:berry; natural_or_plant_name_screen,10.1016/j.jphotochem.2015.10.009; 10.1016/j.rser.2016.06.045,"Dye-sensitised solar cells: Development, structure, operation principles, electron kinetics, characterisation, synthesis materials and natural photosensitisers | Role of pH and pigment concentration for natural dye-sensitized solar cells treated with anthocyanin extracts of common fruits"
Blackberry,natural_or_bio_based_candidate,4,0.9375,1.4,6.1125,0.3588,13.5433,,,TiO2,,glass,elsevier,keyword:berry; natural_or_plant_name_screen,10.1016/j.jphotochem.2015.10.009; 10.1016/j.optmat.2019.02.037; 10.1016/j.rser.2016.06.045; 10.1016/j.rser.2017.04.075,"Dye-sensitised solar cells: Development, structure, operation principles, electron kinetics, characterisation, synthesis materials and natural photosensitisers | Natural dye extract from Cassia fistula and its application in dye-sensitized solar cell: Experimental and density functional theory studies | Recent progress and utilization of natural pigments in dye sensitized solar cells: A review"
Fe(III)-chlorophyll,natural_or_bio_based_candidate,1,1.35,1.35,4.0,0.18,1.12,,,TiO2,,,elsevier,keyword:chlorophyll; natural_or_plant_name_screen,10.1016/j.rinp.2017.08.009,Effect of metal ion Fe(III) on the performance of chlorophyll as photosensitizers on dye sensitized solar cell
Beetroot extract with TiO2 nanoparticles,natural_or_bio_based_candidate,1,1.3,1.3,1.7,0.46,,,,TiO2,,,elsevier,keyword:beetroot; natural_or_plant_name_screen,10.1016/j.solener.2019.02.023,Progress in dye sensitized solar cell by incorporating natural photosensitizers
Black Mulberry,natural_or_bio_based_candidate,1,1.3,1.3,9.08,416.13,34.5,,,TiO2,,,elsevier,keyword:berry; natural_or_plant_name_screen,10.1016/j.jphotochem.2018.09.018,Enhancement of efficiency of natural and organic dye sensitized solar cells using thin film TiO2 photoanodes fabricated by spin-coating
Cranberry,natural_or_bio_based_candidate,1,1.2,1.2,6.78,0.41,0.42,,,TiO2,,,elsevier,keyword:berry; natural_or_plant_name_screen,10.1016/j.optmat.2019.02.037,Natural dye extract from Cassia fistula and its application in dye-sensitized solar cell: Experimental and density functional theory studies
Mangosteen pericarp,natural_or_bio_based_candidate,9,0.9178,1.17,2.5558,0.5964,21.485,,,TiO2,I−/I3−,FTO; glass,elsevier,keyword:mangosteen; natural_or_plant_name_screen,10.1016/j.jphotochem.2017.07.006; 10.1016/j.rser.2011.07.148; 10.1016/j.rser.2015.07.052; 10.1016/j.rser.2016.06.045; 10.1016/j.rser.2017.04.075,"Dye-sensitised solar cells: Development, structure, operation principles, electron kinetics, characterisation, synthesis materials and natural photosensitisers | Recent progress and utilization of natural pigments in dye sensitized solar cells: A review | Review on natural dye sensitized solar cells: Operation, materials and methods"
Natural dye,natural_or_bio_based_candidate,7,0.355,1.17,0.8873,0.5861,0.6071,,,TiO2,,,elsevier,keyword:natural; natural_or_plant_name_screen,10.1016/j.optmat.2018.03.056,Fabrication and characterization of mixed dye: Natural and synthetic organic dye
Mangosteen pericarp ( Extract ),natural_or_bio_based_candidate,1,1.17,1.17,2.69,0.68,0.63,,,,T2/T−,,elsevier,keyword:mangosteen; natural_or_plant_name_screen,10.1016/j.rser.2016.12.087,Performance improvement of modified dye-sensitized solar cells
Mangosteen pericarpa,natural_or_bio_based_candidate,1,1.17,1.17,2.69,0.686,63.3,,,,I3−/I−,,elsevier,keyword:mangosteen; natural_or_plant_name_screen,10.1016/j.jphotochem.2011.02.008,Dye-sensitized solar cells using 20 natural dyes as sensitizers
Mangosteen Pericap,natural_or_bio_based_candidate,1,1.17,1.17,2.69,686.0,63.3,,,TiO2,,,elsevier,keyword:mangosteen; natural_or_plant_name_screen,10.1016/j.jphotochem.2018.09.018,Enhancement of efficiency of natural and organic dye sensitized solar cells using thin film TiO2 photoanodes fabricated by spin-coating
Mangosteen Pericarp,natural_or_bio_based_candidate,1,1.17,1.17,2.69,0.686,0.633,,,,,,elsevier,keyword:mangosteen; natural_or_plant_name_screen,10.1016/j.optmat.2018.03.040,Synergistic effect of sodium and yeast in improving the efficiency of DSSC sensitized with extract from petals of Kigelia Africana
Hibiscus surattensis,natural_or_bio_based_candidate,3,1.14,1.14,5.45,0.39,0.54,,,TiO2,I−/I3−,,elsevier,keyword:hibiscus; natural_or_plant_name_screen,10.1016/j.rser.2011.07.148; 10.1016/j.rser.2015.07.052; 10.1016/j.rser.2016.06.045,"Dye-sensitised solar cells: Development, structure, operation principles, electron kinetics, characterisation, synthesis materials and natural photosensitisers | Review on natural dye sensitized solar cells: Operation, materials and methods | Review: Dye sensitized solar cells based on natural photosensitizers"
Hibiscus Surattensis,natural_or_bio_based_candidate,1,1.14,1.14,5.45,0.39,0.54,,,,,,elsevier,keyword:hibiscus; natural_or_plant_name_screen,10.1016/j.optmat.2018.03.040,Synergistic effect of sodium and yeast in improving the efficiency of DSSC sensitized with extract from petals of Kigelia Africana
Raw Blackberry,natural_or_bio_based_candidate,3,0.81,1.13,4.2567,355.3333,0.5867,,,12; 13.3,,,elsevier,keyword:berry; natural_or_plant_name_screen,10.1016/j.solener.2012.02.018,Anthocyanins and betalains as light-harvesting pigments for dye-sensitized solar cells
Blueberry fruit,natural_or_bio_based_candidate,1,1.13,1.13,6.8,0.32,0.51,,,TiO2,I−/I3−,FTO,elsevier,keyword:berry; natural_or_plant_name_screen,10.1016/j.jphotochem.2017.07.006,The effect of iron complexes of quercetin on dye-sensitized solar cell efficiency
Henna,natural_or_bio_based_candidate,1,1.08,1.08,3.8,0.33,85.0,,C1=CC=C2C(=C1)C(=CC(=O)C2=O)O,ZnO,,,elsevier,keyword:henna; natural_or_plant_name_screen,10.1016/j.matlet.2019.02.072,The preparation of dye sensitized solar cells using natural dyes extracted from Phytolacca icosandra and Phyllanthus reticulatus with ZnO as photoanode
Henna ( natural ),natural_or_bio_based_candidate,1,1.08,1.08,0.38,0.33,85.0,,,ZnO,,FTO,elsevier,keyword:henna|natural; natural_or_plant_name_screen,10.1016/j.optmat.2018.06.011,"Optical, spectral and photovoltaic characterization of natural dyes extracted from leaves of Peltophorum pterocarpum and Acalypha amentacea used as sensitizers for ZnO based dye sensitized solar cells"
Henna extract with TiO2 nanoparticles,natural_or_bio_based_candidate,1,1.08,1.08,1.63,0.4,,,,TiO2,,,elsevier,keyword:henna; natural_or_plant_name_screen,10.1016/j.solener.2019.02.023,Progress in dye sensitized solar cell by incorporating natural photosensitizers
Pomegranate juice ( 100 g ),natural_or_bio_based_candidate,1,1.076,1.076,,0.395,48.1,,,TiO2,,,elsevier,keyword:pomegranate; natural_or_plant_name_screen,10.1016/j.rser.2016.11.198,Natural dyes for dye sensitized solar cell: A review
Purified Blackberry,natural_or_bio_based_candidate,2,0.81,1.07,4.025,360.0,0.6,,,12; 9.3,,,elsevier,keyword:berry; natural_or_plant_name_screen,10.1016/j.solener.2012.02.018,Anthocyanins and betalains as light-harvesting pigments for dye-sensitized solar cells
Blackberry ( H+ ),natural_or_bio_based_candidate,1,1.07,1.07,5.85,320.0,0.57,,,TiO2,,,elsevier,keyword:berry; natural_or_plant_name_screen,10.1016/j.solener.2012.02.018,Anthocyanins and betalains as light-harvesting pigments for dye-sensitized solar cells
Hibiscus rosasinesis,natural_or_bio_based_candidate,3,1.02,1.02,4.04,0.4,0.63,,,TiO2,I−/I3−,,elsevier,keyword:hibiscus; natural_or_plant_name_screen,10.1016/j.rser.2011.07.148; 10.1016/j.rser.2015.07.052; 10.1016/j.rser.2016.06.045,"Dye-sensitised solar cells: Development, structure, operation principles, electron kinetics, characterisation, synthesis materials and natural photosensitisers | Review on natural dye sensitized solar cells: Operation, materials and methods | Review: Dye sensitized solar cells based on natural photosensitizers"
Al doped ZnO : Pomegranate dye,natural_or_bio_based_candidate,1,1.02,1.02,2.15,600.0,0.57,,,ZnO,,ITO,elsevier,keyword:pomegranate; natural_or_plant_name_screen,10.1016/j.solener.2016.11.029,Al-doped ZnO thin films grown onto ITO substrates as photoanode in dye sensitized solar cell
Pomegranate ( natural ),natural_or_bio_based_candidate,1,1.01,1.01,9.88,0.56,56.0,,,ZnO,,FTO,elsevier,keyword:natural|pomegranate; natural_or_plant_name_screen,10.1016/j.optmat.2018.06.011,"Optical, spectral and photovoltaic characterization of natural dyes extracted from leaves of Peltophorum pterocarpum and Acalypha amentacea used as sensitizers for ZnO based dye sensitized solar cells"
Beetroot + Strawberry,natural_or_bio_based_candidate,1,1.0,1.0,4.29,0.56,0.41,,,TiO2,,,elsevier,keyword:beetroot|berry; natural_or_plant_name_screen,10.1016/j.optmat.2018.03.056,Fabrication and characterization of mixed dye: Natural and synthetic organic dye
E. conferta,natural_or_bio_based_candidate,1,1.0,1.0,4.63,0.37,0.56,,,TiO2,,,elsevier,natural_or_plant_name_screen,10.1016/j.solener.2019.02.023,Progress in dye sensitized solar cell by incorporating natural photosensitizers
Red mulberry ( H+ ),natural_or_bio_based_candidate,1,0.99,0.99,4.45,340.0,0.64,,,TiO2,,,elsevier,keyword:berry; natural_or_plant_name_screen,10.1016/j.solener.2012.02.018,Anthocyanins and betalains as light-harvesting pigments for dye-sensitized solar cells
Red mulberry,natural_or_bio_based_candidate,1,0.99,0.99,4.45,0.34,,,,,,glass,elsevier,keyword:berry; natural_or_plant_name_screen,10.1016/j.rser.2017.04.075,Recent progress and utilization of natural pigments in dye sensitized solar cells: A review
Bougainvillea and Blueberry,natural_or_bio_based_candidate,1,0.75,0.75,2.93,560.0,47.0,,,TiO2,,,elsevier,keyword:berry; natural_or_plant_name_screen,10.1016/j.solener.2016.08.003,Recent advances in hybrid solar cells based on natural dye extracts from Indian plant pigment as sensitizers
Pomegranate and Mulberry,natural_or_bio_based_candidate,1,0.722,0.722,2.8,530.0,49.0,,,TiO2,,,elsevier,keyword:berry|pomegranate; natural_or_plant_name_screen,10.1016/j.solener.2016.08.003,Recent advances in hybrid solar cells based on natural dye extracts from Indian plant pigment as sensitizers
Pomegranateleaf / Mulberry,natural_or_bio_based_candidate,1,0.72,0.72,2.8,0.53,0.49,,,TiO2,I−/I3−,FTO,elsevier,keyword:berry|pomegranate; natural_or_plant_name_screen,10.1016/j.jphotochem.2017.07.006,The effect of iron complexes of quercetin on dye-sensitized solar cell efficiency
Pomegranateleaf,natural_or_bio_based_candidate,1,0.72,0.72,2.8,0.53,0.49,,,TiO2,I−/I3−,FTO,elsevier,keyword:pomegranate; natural_or_plant_name_screen,10.1016/j.jphotochem.2017.07.006,The effect of iron complexes of quercetin on dye-sensitized solar cell efficiency
