dye_raw,eco_class,valid_record_count,avg_pce_percent,max_pce_percent,avg_jsc_raw,avg_voc_raw,avg_ff_raw,example_name,example_smiles,common_semiconductors,common_redox_couples,common_substrates,sources,screening_reasons,example_dois,example_titles
C. fruticosa,natural_or_bio_based_candidate,2,0.5,0.5,1.3,0.616,60.16,,,TiO2,I−/I3−,,elsevier,natural_or_plant_name_screen,10.1016/j.rinp.2016.08.013; 10.1016/j.saa.2017.02.026,"Extraction, preparation and application of pigments from Cordyline fruticosa and Hylocereus polyrhizus as sensitizers for dye-sensitized solar cells | Optimization of dye extraction from Cordyline fruticosa via response surface methodology to produce a natural sensitizer for dye-sensitized solar cells"
P. glaucum,natural_or_bio_based_candidate,1,0.5,0.5,1.38,520.0,69.5,,,TiO2,I−/I3−,,elsevier,natural_or_plant_name_screen,10.1016/j.carbon.2016.04.012,Inkjet-printed graphene electrodes for dye-sensitized solar cells
O. dillenii,natural_or_bio_based_candidate,1,0.47,0.47,1.09,0.52,0.69,,,TiO2,,,elsevier,natural_or_plant_name_screen,10.1016/j.optmat.2019.02.037,Natural dye extract from Cassia fistula and its application in dye-sensitized solar cell: Experimental and density functional theory studies
PhCh / PEO – DMF / BMII – NH4I / I2 – tartaric acid / anthocyanin,natural_or_bio_based_candidate,1,0.46,0.46,3.5,0.34,0.39,,,TiO2,,glass,rsc,keyword:anthocyanin; natural_or_plant_name_screen,10.1039/C6RA04188D,From crab shell to solar cell: a gel polymer electrolyte based on N -phthaloylchitosan and its application in dye-sensitized solar cells  
ZnO : Hibiscus dye,natural_or_bio_based_candidate,1,0.44,0.44,1.55,525.0,0.56,,,ZnO,,ITO,elsevier,keyword:hibiscus; natural_or_plant_name_screen,10.1016/j.solener.2016.11.029,Al-doped ZnO thin films grown onto ITO substrates as photoanode in dye sensitized solar cell
Hibiscus sabdariffa,natural_or_bio_based_candidate,1,0.41,0.41,2.69,0.42,0.37,,,TiO2,,,elsevier,keyword:hibiscus; natural_or_plant_name_screen,10.1016/j.optmat.2018.03.056,Fabrication and characterization of mixed dye: Natural and synthetic organic dye
Mulberry on ZnO nanorode,natural_or_bio_based_candidate,1,0.41,0.41,2.9,0.23,0.3,,,TiO2,,,elsevier,keyword:berry; natural_or_plant_name_screen,10.1016/j.solener.2019.02.023,Progress in dye sensitized solar cell by incorporating natural photosensitizers
H. sabdariffa,natural_or_bio_based_candidate,1,0.4,0.4,1.16,500.0,62.6,,,TiO2,I−/I3−,,elsevier,natural_or_plant_name_screen,10.1016/j.carbon.2016.04.012,Inkjet-printed graphene electrodes for dye-sensitized solar cells
rosella ( Hibiscus sabdariffa L. ) ( aqueous extract ),natural_or_bio_based_candidate,1,0.37,0.37,1.63,0.4,0.57,,,,T2/T−,,elsevier,keyword:hibiscus; natural_or_plant_name_screen,10.1016/j.rser.2016.12.087,Performance improvement of modified dye-sensitized solar cells
Hibiscus sabdariffa L .( Aqueous extract ),natural_or_bio_based_candidate,1,0.37,0.37,1.63,0.4,0.57,,,,T2/T−,,elsevier,keyword:hibiscus; natural_or_plant_name_screen,10.1016/j.rser.2016.12.087,Performance improvement of modified dye-sensitized solar cells
Hibiscus sabdariffa L.,natural_or_bio_based_candidate,1,0.37,0.37,1.63,0.4,0.57,,,,,,elsevier,keyword:hibiscus; natural_or_plant_name_screen,10.1016/j.rser.2016.06.045,"Dye-sensitised solar cells: Development, structure, operation principles, electron kinetics, characterisation, synthesis materials and natural photosensitisers"
ZnO : Beetroot dye,natural_or_bio_based_candidate,1,0.35,0.35,1.3,500.0,0.55,,,ZnO,,ITO,elsevier,keyword:beetroot; natural_or_plant_name_screen,10.1016/j.solener.2016.11.029,Al-doped ZnO thin films grown onto ITO substrates as photoanode in dye sensitized solar cell
FeCl3·6H2O + chlorophyll,natural_or_bio_based_candidate,1,0.33,0.33,2.0,0.12,0.83,,,TiO2,,,elsevier,keyword:chlorophyll; natural_or_plant_name_screen,10.1016/j.rinp.2017.08.009,Effect of metal ion Fe(III) on the performance of chlorophyll as photosensitizers on dye sensitized solar cell
Anthocyanin extract ( after purification ),natural_or_bio_based_candidate,1,0.32,0.32,0.9,0.49,0.73,,,TiO2,,,elsevier,keyword:anthocyanin; natural_or_plant_name_screen,10.1016/j.saa.2015.02.003,Photoelectric characterization of fabricated dye-sensitized solar cell using dye extracted from red Siahkooti fruit as natural sensitizer
M. acuminata,natural_or_bio_based_candidate,2,0.31,0.31,0.9,0.58,30.145,,,TiO2,,,elsevier,natural_or_plant_name_screen,10.1016/j.optmat.2019.02.037; 10.1016/j.saa.2017.11.018,Application of dyes extracted from Alternanthera dentata leaves and Musa acuminata bracts as natural sensitizers for dye-sensitized solar cells | Natural dye extract from Cassia fistula and its application in dye-sensitized solar cell: Experimental and density functional theory studies
