year,device_label,dye,semiconductor,electrolyte,substrate,active_area,solar_simulator,voc,voc_units,jsc,jsc_units,ff,pce_percent,paper_title,doi,journal,source_url,local_file,property_context,validation_status
2025,Gymnogongrus flabelliformis,Gymnogongrus flabelliformis,TiO2; titanium dioxide; ZnO,"electrolyte, mesoporous titanium dioxide (TiO₂) photoelectrode, reduced graphene oxide (rGO) as counter electrode, and ITO glass as",ITO; glass,,,0.28,V,0.041,mA/cm²,0.239,0.020,Natural pigment-based dye-sensitized solar cells utilizing Caulerpa racemose and Gymnogongrus flabelliformis as photosensitizers,10.61435/ijred.2025.61083,International Journal of Renewable Energy Development,https://ijred.cbiore.id/index.php/ijred/article/view/61083,database_2018_13516220/doaj_2020_2026/scraped/raw/10.61435_ijred.2025.61083.pdf,"rcuit voltage (Voc), fill factor (FF), and overall photoelectric conversion efficiency (η). The results showed that the highest performance for Gymnogongrus flabelliformis was Jsc 0.041 mA/cm², Voc 0.28 V, FF 0.239, and η 0.020%, while the highest performance of Caulerpa racemosa was Jsc 0.023 mA/cm², Voc 0.46 V, FF 0.244, and η 0.019%. These findings indicate the potential for using and developing natura",text_core_properties_extracted_needs_manual_validation
2025,Caulerpa racemosa,Caulerpa racemosa,TiO2; titanium dioxide; ZnO,"electrolyte, mesoporous titanium dioxide (TiO₂) photoelectrode, reduced graphene oxide (rGO) as counter electrode, and ITO glass as",ITO; glass,,,0.46,V,0.023,mA/cm²,0.244,0.019,Natural pigment-based dye-sensitized solar cells utilizing Caulerpa racemose and Gymnogongrus flabelliformis as photosensitizers,10.61435/ijred.2025.61083,International Journal of Renewable Energy Development,https://ijred.cbiore.id/index.php/ijred/article/view/61083,database_2018_13516220/doaj_2020_2026/scraped/raw/10.61435_ijred.2025.61083.pdf,"highest performance for Gymnogongrus flabelliformis was Jsc 0.041 mA/cm², Voc 0.28 V, FF 0.239, and η 0.020%, while the highest performance of Caulerpa racemosa was Jsc 0.023 mA/cm², Voc 0.46 V, FF 0.244, and η 0.019%. These findings indicate the potential for using and developing natural dyes derived from these two macroalgae species in DSSC technology. This research offers insight into the fe",text_core_properties_extracted_needs_manual_validation
