doi,title,tables,pv_tables,records,status
10.1016/j.chphi.2024.100790,Synthesis of nanostructured semiconducting cerium oxide associated titanium dioxide as photoanodic material for dye sensitized solar cells,0,0,0,no_html
10.29130/dubited.1668896,Sustainable Dye-Sensitized Solar Cells Enhanced with CdS and Natural P. pterocarpum Dye for Dual Energy and Low-Light Sensing: The Synergistic Role of ZnO Nanorods and Natural Dyes,0,0,0,ok
10.1007/s40243-025-00320-y,Jasmine flowers extract mediated green synthesis of tio₂ nanoparticles and their photocurrent characteristics for dye-sensitized solar cell application,0,0,0,ok
10.1016/j.chphi.2025.100868,Efficiency enhancement of DSSCs based on sol-gel prepared ZnO nanoparticles through cosensitization with natural and synthetic pigments,0,0,0,ok
10.33093/jetap.2025.7.2.3,Comparison Study of Natural Dye Sensitisers in Dye-Sensitised Solar Cells,0,0,0,ok
10.1016/j.rio.2024.100631,"Utilization of natural dyes extracted from mustard flower (Genus: Brassica, Species: Napus) as photosensitizer for DSSC: Experimental and computational studies",0,0,0,no_html
10.1016/j.chphma.2024.06.008,"Theoretical study on the efficiency of new organic dyes based on (E)-2-(2-(thiophen-3-yl)vinyl)-1,1′-bipyrrole as dye-sensitized solar cell sensitizers",0,0,0,no_html
10.29303/jpft.v10i`1.6192,The Effect of Mixed Dye Composition of Anthocyanin-Chlorophyll on DSSC Efficiency on TiO2/ZnO Semiconductors,0,0,0,no_html
10.1016/j.chphi.2024.100719,Study of photosensitizer dyes for high-performance dye-sensitized solar cells application: A computational investigation,0,0,0,no_html
10.1016/j.heliyon.2024.e32163,Study of KOH as alkali for enhancing performance of photo-galvanic cell in transparent cylindrical cell design,0,0,0,no_html
10.1016/j.jpap.2024.100233,Solvent selection for anthrocyanin dye extraction from Kigelia Africana and Hibiscus sabdariffa for dye sensitized solar cells,0,0,0,no_html
10.13044/j.sdewes.d12.0491,Scattering layers for Titanium dioxide and Tin dioxide Dye-sensitized solar cells with Pandan leaf as a natural sensitizer,1,1,4,ok
10.3390/app14051957,Photovoltaic Tiles for the Wavelength-Selective Greenhouse: Exploring Yellow and Green Dye-Sensitized Solar Cells in Outdoor Conditions,0,0,0,no_html
10.1016/j.rio.2023.100592,Performance of dye-sensitized solar cells with mixed three natural pigments and reduced graphene oxide as a counter electrode,0,0,0,ok
10.17977/um016v8i12024p138,Performance Enhancement of Dye Sensitized Solar Cell (DSSC) through TiO2/rGO Hybrid: Comprehensive Study on Synthesis and Characterization,0,0,0,no_html
10.22146/ijc.93830,"Optimizing Dye-Sensitized Solar Cell (DSSC) Performance through Synergistic Natural Dye Combinations from Beta vulgaris L., Curcuma longa L., and Pandanus amaryllifolius",2,0,0,ok
10.1016/j.rio.2024.100635,"Investigation of structural and optical characteristics of regioisomerically pure 1,7-perylene diimide: Experimental and density functional approaches",0,0,0,no_html
10.1016/j.ecmx.2024.100606,Indoor photovoltaics: A numerical model of dye-sensitized solar cells based on indoor illumination for the Internet of Things applications,0,0,0,no_html
10.3390/molecules29050931,Highly Efficient DSSCs Sensitized Using NIR Responsive Bacteriopheophytine-a and Its Derivatives Extracted from Rhodobacter Sphaeroides Photobacteria,0,0,0,no_html
10.1016/j.heliyon.2024.e29370,Graphene oxide doping in tropical almond (terminalia catappa L.) fruits extract mediated green synthesis of TiO2 nanoparticles for improved DSSC power conversion efficiency,0,0,0,ok
10.1051/e3sconf/202448101005,Fabrication of TiO2-Ag composites for working electrode of dye-sensitized solar cells,0,0,0,no_html
10.1016/j.mset.2023.11.001,Exploring heterogenous TiO2 nanocrystals from natural ilmenite mineral extraction for energy application,0,0,0,ok
10.3390/nano14121034,Enhancing Efficiency of Dye Sensitized Solar Cells by Coinage Metal Doping of Cyanidin-Silver Trimer Hybrids at TiO 2 Support Based on Theoretical Study,0,0,0,no_html
10.1016/j.jsamd.2024.100726,Enhanced dye-sensitized solar cell performance and electrochemical capacitive behavior of bi-functional ZnO/NiO/Co3O4 ternary nanocomposite prepared by chemical co-precipitation method,0,0,0,no_html
10.1371/journal.pone.0298776,Double layer capacitors in dye sensitized solar cells with large charge and energy storage capacity and controlled shape of output voltage signals.,0,0,0,no_html
10.21577/0100-4042.20230133,DYE-SENSITIZED SOLAR CELLS (DSSC): AN APPROACH TO PRACTICE IN UNDERGRADUATE TEACHING,0,0,0,no_html
10.3390/photochem4030024,Cyanobacterial Pigments as Natural Photosensitizers for Dye-Sensitized Solar Cells,0,0,0,no_html
10.3390/org5040034,"Conducting Polymers in Solar Cells: Insights, Innovations, and Challenges",0,0,0,no_html
10.22146/ijc.86386,Characterization and Application of Natural Photosensitizer and Poly(vinylidene Fluoride) Nanofiber Membranes-Based Electrolytes in DSSC,2,0,0,ok
10.1007/s42452-024-06256-8,A narrative review on vital criteria of fungal dyes as dye-sensitized solar cell (DSSC),0,0,0,no_html
10.3390/cryst15010028,A Study on Cu Thin-Film Electroplated TiO 2 Photoanodes for Applications in Natural Dye-Sensitized Solar Cells,0,0,0,no_html
10.53704/fujnas.v13i2.545,A Green synthesis of copper oxide nanoparticles for improved performance in Monolithic Dye Sensitized Solar Cells,0,0,0,ok
10.1038/s41598-024-75959-0,Tandem dye-sensitized solar cells achieve 12.89% efficiency using novel organic sensitizers,0,0,0,no_html
10.1016/j.nxmate.2023.100051,Inexpensive green synthesis of natural dye-sensitized solar cells with aqueous solution as a Bi2S3 counter electrode,0,0,0,ok
10.1016/j.chphi.2024.100542,Green synthesis and characterizations of magnetic iron oxide nanoparticles using Moringa oleifera extract for improved performance in dye-sensitized solar cell,0,0,0,ok
10.1155/2024/6613380,Enhancement in the Electrocatalytic and Optoelectronic Performance of Cost-Effective Counter Electrode VO2 for Dye-Sensitized Solar Cell (DSSC),0,0,0,no_html
10.13057/ijap.v13i2.66716,The Impact of Solvent Composition and Copper (Cu) Ion Doping on Dye Anthocyanin on Increasing Dye-Sensitized Solar Cell (DSSC) Efficiency,0,0,0,no_html
10.21123/bsj.2023.7150,Synthesis of Carbon Nanotubes Using Modified Hummers Method for Cathode Electrodes in Dye-Sensitized Solar Cell,0,0,0,no_html
10.17807/orbital.v15i2.17854,Studies on the Optical and Photoelectric Properties of Anthocyanin and Chlorophyll as Dihybrid Sensitizer in Dye Sensitized Solar Cell (DSSC),0,0,0,no_html
10.22146/ijc.84037,Preparation and Performance of ZnO and ZnO/MnO 2 Nanostructures as Anode Electrodes in DSSCs,0,0,0,no_html
10.1016/j.heliyon.2023.e21533,"Potential investigation of combined natural dye pigments extracted from ivy gourd leaves, black glutinous rice and turmeric for dye-sensitised solar cell",0,0,0,ok
10.3390/app14010188,Optoelectronic Characterization of Natural Dyes in the Quest for Enhanced Performance in Dye-Sensitized Solar Cells: A Density Functional Theory Study,0,0,0,no_html
10.3390/colorants2020020,Metal-Free Counter Electrodes for DSSCs Based on Nitrogen-Doped Reduced Graphene Oxide Materials,0,0,0,no_html
10.3390/colorants2010007,Mathematical Approach to Optimizing the Panchromatic Absorption of Natural Dye Combinations for Dye-Sensitized Solar Cells,0,0,0,no_html
10.3390/molecules28207091,Ionic Liquids Hybridization for Carbon Dioxide Capture: A Review,0,0,0,no_html
